ticker,metric,source_fiscal_years,source_year_count,review_pending_fiscal_years,review_pending_year_count,calculation_ready_fiscal_years,calculation_ready_year_count,missing_source_years,earliest_source_year,latest_source_year,coverage_status
MSFT,payables_days,,0,,0,2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,18,2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,,,CALCULATION_READY_10Y
MSFT,quick_ratio,,0,,0,2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,18,2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,,,CALCULATION_READY_10Y
MSFT,receivables_days,,0,,0,2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,18,2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,,,CALCULATION_READY_10Y
MSFT,return_on_assets,,0,,0,2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,18,2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,,,CALCULATION_READY_10Y
MSFT,return_on_equity,,0,,0,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,19,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,,,CALCULATION_READY_10Y
MSFT,revenue,2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,20,,0,2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,20,,2007,2026,CALCULATION_READY_10Y
MSFT,shareholders_equity,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,19,,0,2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,19,,2008,2026,CALCULATION_READY_10Y
MSFT,short_term_debt,2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,18,2009 2010 2011 2012 2018 2019 2020 2021 2022 2023 2024 2025 2026,13,2013 2014 2015 2016 2017,5,,2009,2026,CALCULATION_READY_5Y
MSFT,total_assets,2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,18,,0,2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,18,,2009,2026,CALCULATION_READY_10Y
MSFT,total_liabilities,2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,17,,0,2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,17,,2010,2026,CALCULATION_READY_10Y
MSFT,working_capital,,0,,0,2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,18,2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,,,CALCULATION_READY_10Y
MSFT,working_capital_to_revenue,,0,,0,2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,18,2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020 2021 2022 2023 2024 2025 2026,,,CALCULATION_READY_10Y
TSM,accounts_payable,2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,10,,0,2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,10,,2016,2025,CALCULATION_READY_10Y
TSM,accounts_receivable,2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,10,,0,2016 2017 2018 2019 2020 2021 2022 2023 2024 2025,10,,2016,2025,CALCULATION_READY_10Y
