ticker,fiscal_year,metric,requirement,final_status,final_provider,final_value,final_currency,final_field,final_filing_date,final_accession,dual_run_classification,sec_value,sec_field,edgartools_value,edgartools_field,reason,dependent_metrics_unavailable
AAPL,2023,ppe_net,REQUIRED,PASS,edgartools,43715000000.0,USD,us-gaap:PropertyPlantAndEquipmentNet,2024-11-01,0000320193-24-000123,VALUE_MATCH,43715000000,us-gaap:PropertyPlantAndEquipmentNet,43715000000.0,us-gaap:PropertyPlantAndEquipmentNet,,
AAPL,2023,revenue,REQUIRED,PASS,edgartools,383285000000.0,USD,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,2025-10-31,0000320193-25-000079,VALUE_MATCH,383285000000,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,383285000000.0,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,,
AAPL,2023,shareholders_equity,REQUIRED,PASS,edgartools,62146000000.0,USD,us-gaap:StockholdersEquity,2025-10-31,0000320193-25-000079,VALUE_MATCH,62146000000,us-gaap:StockholdersEquity,62146000000.0,us-gaap:StockholdersEquity,,
AAPL,2023,short_term_debt,REQUIRED,PASS,edgartools,9822000000.0,USD,aggregation:us-gaap:LongTermDebtCurrent,2024-11-01,0000320193-24-000123,VALUE_MATCH,9822000000,aggregation:us-gaap:LongTermDebtCurrent,9822000000.0,aggregation:us-gaap:LongTermDebtCurrent,,
AAPL,2023,total_assets,REQUIRED,PASS,edgartools,352583000000.0,USD,us-gaap:Assets,2024-11-01,0000320193-24-000123,VALUE_MATCH,352583000000,us-gaap:Assets,352583000000.0,us-gaap:Assets,,
AAPL,2023,total_liabilities,REQUIRED,PASS,edgartools,290437000000.0,USD,us-gaap:Liabilities,2024-11-01,0000320193-24-000123,VALUE_MATCH,290437000000,us-gaap:Liabilities,290437000000.0,us-gaap:Liabilities,,
AAPL,2024,accounts_payable,REQUIRED,PASS,edgartools,68960000000.0,USD,us-gaap:AccountsPayableCurrent,2025-10-31,0000320193-25-000079,VALUE_MATCH,68960000000,us-gaap:AccountsPayableCurrent,68960000000.0,us-gaap:AccountsPayableCurrent,,
AAPL,2024,accounts_receivable,REQUIRED,PASS,edgartools,33410000000.0,USD,us-gaap:AccountsReceivableNetCurrent,2025-10-31,0000320193-25-000079,VALUE_MATCH,33410000000,us-gaap:AccountsReceivableNetCurrent,33410000000.0,us-gaap:AccountsReceivableNetCurrent,,
AAPL,2024,capital_expenditures,REQUIRED,PASS,edgartools,9447000000.0,USD,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,2025-10-31,0000320193-25-000079,VALUE_MATCH,9447000000,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,9447000000.0,us-gaap:PaymentsToAcquirePropertyPlantAndEquipment,,
AAPL,2024,cash_and_equivalents,REQUIRED,PASS,edgartools,29943000000.0,USD,us-gaap:CashAndCashEquivalentsAtCarryingValue,2025-10-31,0000320193-25-000079,VALUE_MATCH,29943000000,us-gaap:CashAndCashEquivalentsAtCarryingValue,29943000000.0,us-gaap:CashAndCashEquivalentsAtCarryingValue,,
AAPL,2024,current_assets,REQUIRED,PASS,edgartools,152987000000.0,USD,us-gaap:AssetsCurrent,2025-10-31,0000320193-25-000079,VALUE_MATCH,152987000000,us-gaap:AssetsCurrent,152987000000.0,us-gaap:AssetsCurrent,,
AAPL,2024,current_liabilities,REQUIRED,PASS,edgartools,176392000000.0,USD,us-gaap:LiabilitiesCurrent,2025-10-31,0000320193-25-000079,VALUE_MATCH,176392000000,us-gaap:LiabilitiesCurrent,176392000000.0,us-gaap:LiabilitiesCurrent,,
AAPL,2024,depreciation_amortization,REQUIRED,PASS,edgartools,11445000000.0,USD,us-gaap:DepreciationDepletionAndAmortization,2025-10-31,0000320193-25-000079,VALUE_MATCH,11445000000,us-gaap:DepreciationDepletionAndAmortization,11445000000.0,us-gaap:DepreciationDepletionAndAmortization,,
AAPL,2024,gross_profit,REQUIRED,PASS,edgartools,180683000000.0,USD,us-gaap:GrossProfit,2025-10-31,0000320193-25-000079,VALUE_MATCH,180683000000,us-gaap:GrossProfit,180683000000.0,us-gaap:GrossProfit,,
