ticker,fiscal_year,metric,old_value,old_field,old_filing_date,edgartools_value,edgartools_field,edgartools_filing_date,classification
MSFT,2025,inventory,938000000,us-gaap:InventoryNet,2026-07-29,938000000.0,us-gaap:InventoryNet,2026-07-29,VALUE_MATCH
MSFT,2025,long_term_debt,40152000000,us-gaap:LongTermDebtNoncurrent,2026-07-29,40152000000.0,us-gaap:LongTermDebtNoncurrent,2026-07-29,VALUE_MATCH
MSFT,2025,net_income,101832000000,us-gaap:NetIncomeLoss,2026-07-29,101832000000.0,us-gaap:NetIncomeLoss,2026-07-29,VALUE_MATCH
MSFT,2025,operating_cash_flow,136162000000,us-gaap:NetCashProvidedByUsedInOperatingActivities,2026-07-29,136162000000.0,us-gaap:NetCashProvidedByUsedInOperatingActivities,2026-07-29,VALUE_MATCH
MSFT,2025,operating_income,128528000000,us-gaap:OperatingIncomeLoss,2026-07-29,128528000000.0,us-gaap:OperatingIncomeLoss,2026-07-29,VALUE_MATCH
MSFT,2025,ppe_net,204966000000,us-gaap:PropertyPlantAndEquipmentNet,2026-07-29,204966000000.0,us-gaap:PropertyPlantAndEquipmentNet,2026-07-29,VALUE_MATCH
MSFT,2025,revenue,281724000000,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,2026-07-29,281724000000.0,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,2026-07-29,VALUE_MATCH
MSFT,2025,shareholders_equity,343479000000,us-gaap:StockholdersEquity,2026-07-29,343479000000.0,us-gaap:StockholdersEquity,2026-07-29,VALUE_MATCH
MSFT,2025,short_term_debt,2999000000,aggregation:us-gaap:LongTermDebtCurrent,2026-07-29,2999000000.0,aggregation:us-gaap:LongTermDebtCurrent,2026-07-29,VALUE_MATCH
MSFT,2025,total_assets,619003000000,us-gaap:Assets,2026-07-29,619003000000.0,us-gaap:Assets,2026-07-29,VALUE_MATCH
MSFT,2025,total_liabilities,275524000000,us-gaap:Liabilities,2026-07-29,275524000000.0,us-gaap:Liabilities,2026-07-29,VALUE_MATCH
MSFT,2026,accounts_payable,42416000000,us-gaap:AccountsPayableCurrent,2026-07-29,42416000000.0,us-gaap:AccountsPayableCurrent,2026-07-29,VALUE_MATCH
